sh	depth	sourceId	sourceTerm	typeTerm	relationshipGroup	destinationTerm	pattern
PR	5	447602008	Laparoscopic incision of ureter and removal of calculus by retroperitoneal approach (procedure)	Using access device (attribute)	2	Laparoscope, device (physical object)	['116680003-PR', '260686004-QV', '363700003-BS', '405813007-BS', '405814001-BS', '424876005-QV', '425391005-PO']
PR	5	447891006	Curettage of lesion of bone and grafting of bone (procedure)	Is a (attribute)	0	Curettage of bone (procedure)	['116680003-PR', '260686004-QV', '363701004-SU', '405813007-BS', '405814001-BS', '405816004-BS']
PR	5	447891006	Curettage of lesion of bone and grafting of bone (procedure)	Method (attribute)	1	Curettage - action (qualifier value)	['116680003-PR', '260686004-QV', '363701004-SU', '405813007-BS', '405814001-BS', '405816004-BS']
PR	5	447891006	Curettage of lesion of bone and grafting of bone (procedure)	Procedure morphology (attribute)	1	Lesion (morphologic abnormality)	['116680003-PR', '260686004-QV', '363701004-SU', '405813007-BS', '405814001-BS', '405816004-BS']
PR	5	447891006	Curettage of lesion of bone and grafting of bone (procedure)	Procedure site - Direct (attribute)	1	Bone structure (body structure)	['116680003-PR', '260686004-QV', '363701004-SU', '405813007-BS', '405814001-BS', '405816004-BS']
PR	5	447891006	Curettage of lesion of bone and grafting of bone (procedure)	Direct substance (attribute)	2	Bone graft material (substance)	['116680003-PR', '260686004-QV', '363701004-SU', '405813007-BS', '405814001-BS', '405816004-BS']
PR	5	447891006	Curettage of lesion of bone and grafting of bone (procedure)	Method (attribute)	2	Grafting - action (qualifier value)	['116680003-PR', '260686004-QV', '363701004-SU', '405813007-BS', '405814001-BS', '405816004-BS']
PR	5	447891006	Curettage of lesion of bone and grafting of bone (procedure)	Procedure site - Indirect (attribute)	2	Bone structure (body structure)	['116680003-PR', '260686004-QV', '363701004-SU', '405813007-BS', '405814001-BS', '405816004-BS']
PR	5	47159006	Repair of aneurysm with graft of subclavian artery by thoracic incision (procedure)	Is a (attribute)	0	Repair of aneurysm with graft of artery (procedure)	['116680003-PR', '260686004-QV', '363700003-BS', '405814001-BS', '424361007-SU', '424876005-QV']
PR	5	47159006	Repair of aneurysm with graft of subclavian artery by thoracic incision (procedure)	Direct morphology (attribute)	1	Aneurysm (morphologic abnormality)	['116680003-PR', '260686004-QV', '363700003-BS', '405814001-BS', '424361007-SU', '424876005-QV']
PR	5	47159006	Repair of aneurysm with graft of subclavian artery by thoracic incision (procedure)	Method (attribute)	1	Repair - action (qualifier value)	['116680003-PR', '260686004-QV', '363700003-BS', '405814001-BS', '424361007-SU', '424876005-QV']
PR	5	47159006	Repair of aneurysm with graft of subclavian artery by thoracic incision (procedure)	Procedure site - Indirect (attribute)	1	Structure of subclavian artery (body structure)	['116680003-PR', '260686004-QV', '363700003-BS', '405814001-BS', '424361007-SU', '424876005-QV']
PR	5	47159006	Repair of aneurysm with graft of subclavian artery by thoracic incision (procedure)	Surgical approach (attribute)	1	Transthoracic approach (qualifier value)	['116680003-PR', '260686004-QV', '363700003-BS', '405814001-BS', '424361007-SU', '424876005-QV']
PR	5	47159006	Repair of aneurysm with graft of subclavian artery by thoracic incision (procedure)	Using substance (attribute)	1	Graft (substance)	['116680003-PR', '260686004-QV', '363700003-BS', '405814001-BS', '424361007-SU', '424876005-QV']
PR	5	473218004	Excisional debridement of wound for infection (procedure)	Has focus (attribute)	0	Local infection of wound (disorder)	['116680003-PR', '260686004-QV', '363700003-BS', '363702006-CF']
PR	5	473218004	Excisional debridement of wound for infection (procedure)	Is a (attribute)	0	Surgical debridement of wound (procedure)	['116680003-PR', '260686004-QV', '363700003-BS', '363702006-CF']
PR	5	473218004	Excisional debridement of wound for infection (procedure)	Direct morphology (attribute)	1	Wound (morphologic abnormality)	['116680003-PR', '260686004-QV', '363700003-BS', '363702006-CF']
PR	5	473218004	Excisional debridement of wound for infection (procedure)	Method (attribute)	1	Excision debridement - action (qualifier value)	['116680003-PR', '260686004-QV', '363700003-BS', '363702006-CF']
PR	5	473238003	Endoscopic decompression of orbit for exophthalmos (procedure)	Has focus (attribute)	0	Exophthalmos (disorder)	['116680003-PR', '260686004-QV', '363702006-CF', '405813007-BS', '425391005-PO']
PR	5	473238003	Endoscopic decompression of orbit for exophthalmos (procedure)	Is a (attribute)	0	Decompression of orbit (procedure)	['116680003-PR', '260686004-QV', '363702006-CF', '405813007-BS', '425391005-PO']
PR	5	473238003	Endoscopic decompression of orbit for exophthalmos (procedure)	Method (attribute)	1	Surgical decompression - action (qualifier value)	['116680003-PR', '260686004-QV', '363702006-CF', '405813007-BS', '425391005-PO']
PR	5	473238003	Endoscopic decompression of orbit for exophthalmos (procedure)	Procedure site - Direct (attribute)	1	Structure of orbit proper (body structure)	['116680003-PR', '260686004-QV', '363702006-CF', '405813007-BS', '425391005-PO']
PR	5	473238003	Endoscopic decompression of orbit for exophthalmos (procedure)	Using access device (attribute)	1	Endoscope, device (physical object)	['116680003-PR', '260686004-QV', '363702006-CF', '405813007-BS', '425391005-PO']
PR	5	4993009	Ischemic limb exercise with electromyography and lactic acid determination (procedure)	Component (attribute)	0	Lactic acid (substance)	['116680003-PR', '246093002-SU', '260686004-QV', '405813007-BS', '424226004-PO']
PR	5	4993009	Ischemic limb exercise with electromyography and lactic acid determination (procedure)	Is a (attribute)	0	Metabolic function test (procedure)	['116680003-PR', '246093002-SU', '260686004-QV', '405813007-BS', '424226004-PO']
PR	5	4993009	Ischemic limb exercise with electromyography and lactic acid determination (procedure)	Is a (attribute)	0	Lactic acid measurement (procedure)	['116680003-PR', '246093002-SU', '260686004-QV', '405813007-BS', '424226004-PO']
PR	5	4993009	Ischemic limb exercise with electromyography and lactic acid determination (procedure)	Is a (attribute)	0	Electromyography (procedure)	['116680003-PR', '246093002-SU', '260686004-QV', '405813007-BS', '424226004-PO']
PR	5	4993009	Ischemic limb exercise with electromyography and lactic acid determination (procedure)	Method (attribute)	0	Measurement - action (qualifier value)	['116680003-PR', '246093002-SU', '260686004-QV', '405813007-BS', '424226004-PO']
PR	5	4993009	Ischemic limb exercise with electromyography and lactic acid determination (procedure)	Method (attribute)	1	Evaluation - action (qualifier value)	['116680003-PR', '246093002-SU', '260686004-QV', '405813007-BS', '424226004-PO']
PR	5	4993009	Ischemic limb exercise with electromyography and lactic acid determination (procedure)	Procedure site - Direct (attribute)	1	Neuron-muscle motor unit (body structure)	['116680003-PR', '246093002-SU', '260686004-QV', '405813007-BS', '424226004-PO']
PR	5	4993009	Ischemic limb exercise with electromyography and lactic acid determination (procedure)	Using device (attribute)	1	Electromyographic monitor and recorder, device (physical object)	['116680003-PR', '246093002-SU', '260686004-QV', '405813007-BS', '424226004-PO']
PR	5	4993009	Ischemic limb exercise with electromyography and lactic acid determination (procedure)	Method (attribute)	2	Functional assessment - action (qualifier value)	['116680003-PR', '246093002-SU', '260686004-QV', '405813007-BS', '424226004-PO']
PR	5	4993009	Ischemic limb exercise with electromyography and lactic acid determination (procedure)	Procedure site - Direct (attribute)	2	Limb structure (body structure)	['116680003-PR', '246093002-SU', '260686004-QV', '405813007-BS', '424226004-PO']
PR	5	53161007	Radiologic guidance for ileal conduitogram (procedure)	Is a (attribute)	0	Radiologic guidance procedure (procedure)	['116680003-PR', '260686004-QV', '363700003-BS', '363703001-QV', '405814001-BS']
PR	5	53161007	Radiologic guidance for ileal conduitogram (procedure)	Direct morphology (attribute)	1	Structure of ileal conduit (morphologic abnormality)	['116680003-PR', '260686004-QV', '363700003-BS', '363703001-QV', '405814001-BS']
PR	5	53161007	Radiologic guidance for ileal conduitogram (procedure)	Has intent (attribute)	1	Guidance intent (qualifier value)	['116680003-PR', '260686004-QV', '363700003-BS', '363703001-QV', '405814001-BS']
PR	5	53161007	Radiologic guidance for ileal conduitogram (procedure)	Method (attribute)	1	Radiographic imaging - action (qualifier value)	['116680003-PR', '260686004-QV', '363700003-BS', '363703001-QV', '405814001-BS']
PR	5	53161007	Radiologic guidance for ileal conduitogram (procedure)	Procedure site - Indirect (attribute)	1	Urinary bladder structure (body structure)	['116680003-PR', '260686004-QV', '363700003-BS', '363703001-QV', '405814001-BS']
PR	5	55622001	Tracheostomy, emergency procedure by transtracheal approach (procedure)	Is a (attribute)	0	Construction of stoma (procedure)	['116680003-PR', '260686004-QV', '260870009-QV', '405813007-BS', '424876005-QV']
PR	5	55622001	Tracheostomy, emergency procedure by transtracheal approach (procedure)	Priority (attribute)	0	Emergency (qualifier value)	['116680003-PR', '260686004-QV', '260870009-QV', '405813007-BS', '424876005-QV']
PR	5	55622001	Tracheostomy, emergency procedure by transtracheal approach (procedure)	Method (attribute)	1	Exteriorization - action (qualifier value)	['116680003-PR', '260686004-QV', '260870009-QV', '405813007-BS', '424876005-QV']
PR	5	55622001	Tracheostomy, emergency procedure by transtracheal approach (procedure)	Procedure site - Direct (attribute)	1	Tracheal structure (body structure)	['116680003-PR', '260686004-QV', '260870009-QV', '405813007-BS', '424876005-QV']
PR	5	55622001	Tracheostomy, emergency procedure by transtracheal approach (procedure)	Surgical approach (attribute)	1	Transtracheal approach (qualifier value)	['116680003-PR', '260686004-QV', '260870009-QV', '405813007-BS', '424876005-QV']
PR	5	609223006	Magnetic resonance imaging of breast for screening for malignant neoplasm (procedure)	Has focus (attribute)	0	Screening for malignant neoplasm of breast (procedure)	['116680003-PR', '260686004-QV', '363702006-PR', '363703001-QV', '405813007-BS']
PR	5	609223006	Magnetic resonance imaging of breast for screening for malignant neoplasm (procedure)	Has intent (attribute)	0	Screening - procedure intent (qualifier value)	['116680003-PR', '260686004-QV', '363702006-PR', '363703001-QV', '405813007-BS']
PR	5	609223006	Magnetic resonance imaging of breast for screening for malignant neoplasm (procedure)	Is a (attribute)	0	Magnetic resonance imaging of breast (procedure)	['116680003-PR', '260686004-QV', '363702006-PR', '363703001-QV', '405813007-BS']
PR	5	609223006	Magnetic resonance imaging of breast for screening for malignant neoplasm (procedure)	Method (attribute)	1	Magnetic resonance imaging - action (qualifier value)	['116680003-PR', '260686004-QV', '363702006-PR', '363703001-QV', '405813007-BS']
PR	5	609223006	Magnetic resonance imaging of breast for screening for malignant neoplasm (procedure)	Procedure site - Direct (attribute)	1	Breast structure (body structure)	['116680003-PR', '260686004-QV', '363702006-PR', '363703001-QV', '405813007-BS']
PR	5	62867004	Teleradiotherapy with radioactive cesium (procedure)	Has intent (attribute)	0	Therapeutic intent (qualifier value)	['116680003-PR', '363701004-SU', '363703001-QV', '363710007-PO']
PR	5	62867004	Teleradiotherapy with radioactive cesium (procedure)	Is a (attribute)	0	Teleradiotherapy procedure (procedure)	['116680003-PR', '363701004-SU', '363703001-QV', '363710007-PO']
PR	5	62867004	Teleradiotherapy with radioactive cesium (procedure)	Is a (attribute)	0	Radionuclide therapy (procedure)	['116680003-PR', '363701004-SU', '363703001-QV', '363710007-PO']
PR	5	62867004	Teleradiotherapy with radioactive cesium (procedure)	Is a (attribute)	0	Gamma ray therapy (procedure)	['116680003-PR', '363701004-SU', '363703001-QV', '363710007-PO']
PR	5	62867004	Teleradiotherapy with radioactive cesium (procedure)	Direct substance (attribute)	1	Cesium (substance)	['116680003-PR', '363701004-SU', '363703001-QV', '363710007-PO']
PR	5	62867004	Teleradiotherapy with radioactive cesium (procedure)	Indirect device (attribute)	1	Radioactive implant, device (physical object)	['116680003-PR', '363701004-SU', '363703001-QV', '363710007-PO']
PR	5	63560002	Direct thrombectomy of vena cava by abdominal incision (procedure)	Is a (attribute)	0	Thrombectomy of vein (procedure)	['116680003-PR', '260507000-QV', '260686004-QV', '405814001-BS', '424876005-QV']
PR	5	63560002	Direct thrombectomy of vena cava by abdominal incision (procedure)	Access (attribute)	1	Open approach - access (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '405814001-BS', '424876005-QV']
PR	5	63560002	Direct thrombectomy of vena cava by abdominal incision (procedure)	Method (attribute)	1	Surgical removal - action (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '405814001-BS', '424876005-QV']
PR	5	63560002	Direct thrombectomy of vena cava by abdominal incision (procedure)	Procedure site - Indirect (attribute)	1	Vena caval structure (body structure)	['116680003-PR', '260507000-QV', '260686004-QV', '405814001-BS', '424876005-QV']
PR	5	63560002	Direct thrombectomy of vena cava by abdominal incision (procedure)	Surgical approach (attribute)	1	Abdominal approach (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '405814001-BS', '424876005-QV']
PR	5	67554001	Revision and reinsertion of ocular implant (procedure)	Is a (attribute)	0	Reimplantation (procedure)	['116680003-PR', '246513007-QV', '260686004-QV', '363699004-PO', '363704007-BS', '405814001-BS', '405815000-PO']
PR	5	67554001	Revision and reinsertion of ocular implant (procedure)	Is a (attribute)	0	Revision of ocular implant (procedure)	['116680003-PR', '246513007-QV', '260686004-QV', '363699004-PO', '363704007-BS', '405814001-BS', '405815000-PO']
PR	5	67554001	Revision and reinsertion of ocular implant (procedure)	Direct device (attribute)	1	Ophthalmological implant (physical object)	['116680003-PR', '246513007-QV', '260686004-QV', '363699004-PO', '363704007-BS', '405814001-BS', '405815000-PO']
PR	5	67554001	Revision and reinsertion of ocular implant (procedure)	Method (attribute)	1	Reimplantation - action (qualifier value)	['116680003-PR', '246513007-QV', '260686004-QV', '363699004-PO', '363704007-BS', '405814001-BS', '405815000-PO']
PR	5	67554001	Revision and reinsertion of ocular implant (procedure)	Procedure site - Indirect (attribute)	1	Structure of orbit proper (body structure)	['116680003-PR', '246513007-QV', '260686004-QV', '363699004-PO', '363704007-BS', '405814001-BS', '405815000-PO']
PR	5	67554001	Revision and reinsertion of ocular implant (procedure)	Method (attribute)	2	Surgical action (qualifier value)	['116680003-PR', '246513007-QV', '260686004-QV', '363699004-PO', '363704007-BS', '405814001-BS', '405815000-PO']
PR	5	67554001	Revision and reinsertion of ocular implant (procedure)	Procedure device (attribute)	2	Ophthalmological implant (physical object)	['116680003-PR', '246513007-QV', '260686004-QV', '363699004-PO', '363704007-BS', '405814001-BS', '405815000-PO']
PR	5	67554001	Revision and reinsertion of ocular implant (procedure)	Procedure site (attribute)	2	Structure of orbit proper (body structure)	['116680003-PR', '246513007-QV', '260686004-QV', '363699004-PO', '363704007-BS', '405814001-BS', '405815000-PO']
PR	5	67554001	Revision and reinsertion of ocular implant (procedure)	Revision status (attribute)	2	Revision - value (qualifier value)	['116680003-PR', '246513007-QV', '260686004-QV', '363699004-PO', '363704007-BS', '405814001-BS', '405815000-PO']
PR	5	699720007	Laparoscopic nephrectomy of remaining kidney by retroperitoneal approach (procedure)	Is a (attribute)	0	Total nephrectomy (procedure)	['116680003-PR', '424876005-QV', '425391005-PO']
PR	5	699720007	Laparoscopic nephrectomy of remaining kidney by retroperitoneal approach (procedure)	Surgical approach (attribute)	0	Retroperitoneal approach (qualifier value)	['116680003-PR', '424876005-QV', '425391005-PO']
PR	5	699720007	Laparoscopic nephrectomy of remaining kidney by retroperitoneal approach (procedure)	Using access device (attribute)	0	Laparoscope, device (physical object)	['116680003-PR', '424876005-QV', '425391005-PO']
PR	5	699800001	Reconstruction of radial forearm with free flap (procedure)	Is a (attribute)	0	Reconstruction with free flap (procedure)	['116680003-PR', '260686004-QV', '363701004-SU', '405814001-BS', '424361007-SU']
PR	5	699800001	Reconstruction of radial forearm with free flap (procedure)	Direct substance (attribute)	1	Free flap (substance)	['116680003-PR', '260686004-QV', '363701004-SU', '405814001-BS', '424361007-SU']
PR	5	699800001	Reconstruction of radial forearm with free flap (procedure)	Method (attribute)	1	Surgical action (qualifier value)	['116680003-PR', '260686004-QV', '363701004-SU', '405814001-BS', '424361007-SU']
PR	5	699800001	Reconstruction of radial forearm with free flap (procedure)	Procedure site - Indirect (attribute)	1	Skin structure of lateral margin of forearm (body structure)	['116680003-PR', '260686004-QV', '363701004-SU', '405814001-BS', '424361007-SU']
PR	5	699800001	Reconstruction of radial forearm with free flap (procedure)	Method (attribute)	2	Grafting - action (qualifier value)	['116680003-PR', '260686004-QV', '363701004-SU', '405814001-BS', '424361007-SU']
PR	5	699800001	Reconstruction of radial forearm with free flap (procedure)	Using substance (attribute)	2	Free flap (substance)	['116680003-PR', '260686004-QV', '363701004-SU', '405814001-BS', '424361007-SU']
PR	5	70157001	Radiologic guidance for percutaneous drainage of abscess (procedure)	Is a (attribute)	0	Drainage of abscess (procedure)	['116680003-PR', '260507000-QV', '260686004-QV', '363701004-SU', '363703001-QV', '363709002-BS']
PR	5	70157001	Radiologic guidance for percutaneous drainage of abscess (procedure)	Is a (attribute)	0	Radiologic guidance procedure (procedure)	['116680003-PR', '260507000-QV', '260686004-QV', '363701004-SU', '363703001-QV', '363709002-BS']
PR	5	70157001	Radiologic guidance for percutaneous drainage of abscess (procedure)	Direct substance (attribute)	1	Substance (substance)	['116680003-PR', '260507000-QV', '260686004-QV', '363701004-SU', '363703001-QV', '363709002-BS']
PR	5	70157001	Radiologic guidance for percutaneous drainage of abscess (procedure)	Indirect morphology (attribute)	1	Abscess (morphologic abnormality)	['116680003-PR', '260507000-QV', '260686004-QV', '363701004-SU', '363703001-QV', '363709002-BS']
PR	5	70157001	Radiologic guidance for percutaneous drainage of abscess (procedure)	Method (attribute)	1	Drainage - action (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363701004-SU', '363703001-QV', '363709002-BS']
PR	5	70157001	Radiologic guidance for percutaneous drainage of abscess (procedure)	Access (attribute)	2	Percutaneous approach - access (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363701004-SU', '363703001-QV', '363709002-BS']
PR	5	70157001	Radiologic guidance for percutaneous drainage of abscess (procedure)	Has intent (attribute)	2	Guidance intent (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363701004-SU', '363703001-QV', '363709002-BS']
PR	5	70157001	Radiologic guidance for percutaneous drainage of abscess (procedure)	Method (attribute)	2	Radiographic imaging - action (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363701004-SU', '363703001-QV', '363709002-BS']
PR	5	707824000	Percutaneous transluminal stent insertion for major systemic to pulmonary collateral artery (procedure)	Is a (attribute)	0	Insertion of arterial stent (procedure)	['116680003-PR', '260507000-QV', '260686004-QV', '363699004-PO', '363700003-BS', '405814001-BS']
PR	5	707824000	Percutaneous transluminal stent insertion for major systemic to pulmonary collateral artery (procedure)	Access (attribute)	1	Percutaneous approach - access (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363699004-PO', '363700003-BS', '405814001-BS']
PR	5	707824000	Percutaneous transluminal stent insertion for major systemic to pulmonary collateral artery (procedure)	Direct device (attribute)	1	Stent, device (physical object)	['116680003-PR', '260507000-QV', '260686004-QV', '363699004-PO', '363700003-BS', '405814001-BS']
PR	5	707824000	Percutaneous transluminal stent insertion for major systemic to pulmonary collateral artery (procedure)	Direct morphology (attribute)	1	Systemic collateral artery to lung (morphologic abnormality)	['116680003-PR', '260507000-QV', '260686004-QV', '363699004-PO', '363700003-BS', '405814001-BS']
PR	5	707824000	Percutaneous transluminal stent insertion for major systemic to pulmonary collateral artery (procedure)	Method (attribute)	1	Insertion - action (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363699004-PO', '363700003-BS', '405814001-BS']
PR	5	707824000	Percutaneous transluminal stent insertion for major systemic to pulmonary collateral artery (procedure)	Procedure site - Indirect (attribute)	1	Arterial structure (body structure)	['116680003-PR', '260507000-QV', '260686004-QV', '363699004-PO', '363700003-BS', '405814001-BS']
PR	5	74252006	Breath analysis, labeled hydrogen (procedure)	Is a (attribute)	0	Expired gas analysis (procedure)	['116680003-PR', '363701004-SU', '424226004-PO']
PR	5	74252006	Breath analysis, labeled hydrogen (procedure)	Direct substance (attribute)	1	Hydrogen (substance)	['116680003-PR', '363701004-SU', '424226004-PO']
PR	5	74252006	Breath analysis, labeled hydrogen (procedure)	Using device (attribute)	1	Breath analyzer, device (physical object)	['116680003-PR', '363701004-SU', '424226004-PO']
PR	5	74823001	Direct repair of aneurysm with graft of subclavian artery by neck incision (procedure)	Is a (attribute)	0	Repair of aneurysm with graft of artery (procedure)	['116680003-PR', '260507000-QV', '260686004-QV', '363700003-BS', '405814001-BS', '424361007-SU', '424876005-QV']
PR	5	74823001	Direct repair of aneurysm with graft of subclavian artery by neck incision (procedure)	Access (attribute)	1	Open approach - access (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363700003-BS', '405814001-BS', '424361007-SU', '424876005-QV']
PR	5	74823001	Direct repair of aneurysm with graft of subclavian artery by neck incision (procedure)	Direct morphology (attribute)	1	Aneurysm (morphologic abnormality)	['116680003-PR', '260507000-QV', '260686004-QV', '363700003-BS', '405814001-BS', '424361007-SU', '424876005-QV']
PR	5	74823001	Direct repair of aneurysm with graft of subclavian artery by neck incision (procedure)	Method (attribute)	1	Repair - action (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363700003-BS', '405814001-BS', '424361007-SU', '424876005-QV']
PR	5	74823001	Direct repair of aneurysm with graft of subclavian artery by neck incision (procedure)	Procedure site - Indirect (attribute)	1	Arterial structure (body structure)	['116680003-PR', '260507000-QV', '260686004-QV', '363700003-BS', '405814001-BS', '424361007-SU', '424876005-QV']
PR	5	74823001	Direct repair of aneurysm with graft of subclavian artery by neck incision (procedure)	Surgical approach (attribute)	1	Transcervical approach - neck (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363700003-BS', '405814001-BS', '424361007-SU', '424876005-QV']
PR	5	74823001	Direct repair of aneurysm with graft of subclavian artery by neck incision (procedure)	Using substance (attribute)	1	Graft (substance)	['116680003-PR', '260507000-QV', '260686004-QV', '363700003-BS', '405814001-BS', '424361007-SU', '424876005-QV']
PR	6	169360009	Radiotherapy: seeds into hypophysis (procedure)	Is a (attribute)	0	Internal radiotherapy - permanent seeds (procedure)	['116680003-PR', '260686004-QV', '363699004-PO', '405814001-BS', '424244007-PF']
PR	6	169360009	Radiotherapy: seeds into hypophysis (procedure)	Is a (attribute)	0	Implantation of radioactive substance into pituitary gland (procedure)	['116680003-PR', '260686004-QV', '363699004-PO', '405814001-BS', '424244007-PF']
PR	6	169360009	Radiotherapy: seeds into hypophysis (procedure)	Direct device (attribute)	1	Radioactive implant, device (physical object)	['116680003-PR', '260686004-QV', '363699004-PO', '405814001-BS', '424244007-PF']
PR	6	169360009	Radiotherapy: seeds into hypophysis (procedure)	Method (attribute)	1	Brachytherapy - action (qualifier value)	['116680003-PR', '260686004-QV', '363699004-PO', '405814001-BS', '424244007-PF']
PR	6	169360009	Radiotherapy: seeds into hypophysis (procedure)	Procedure site - Indirect (attribute)	1	Pituitary structure (body structure)	['116680003-PR', '260686004-QV', '363699004-PO', '405814001-BS', '424244007-PF']
PR	6	169360009	Radiotherapy: seeds into hypophysis (procedure)	Using energy (attribute)	1	Ionizing radiation (physical force)	['116680003-PR', '260686004-QV', '363699004-PO', '405814001-BS', '424244007-PF']
PR	6	173019002	Microtherapeutic endoscopic extirpation of lesion of larynx using laser (procedure)	Is a (attribute)	0	Microtherapeutic endoscopic operations on larynx (procedure)	['116680003-PR', '260686004-QV', '363700003-BS', '405813007-BS', '424244007-PF', '425391005-PO']
PR	6	173019002	Microtherapeutic endoscopic extirpation of lesion of larynx using laser (procedure)	Direct morphology (attribute)	1	Lesion (morphologic abnormality)	['116680003-PR', '260686004-QV', '363700003-BS', '405813007-BS', '424244007-PF', '425391005-PO']
PR	6	173019002	Microtherapeutic endoscopic extirpation of lesion of larynx using laser (procedure)	Method (attribute)	1	Extirpation - action (qualifier value)	['116680003-PR', '260686004-QV', '363700003-BS', '405813007-BS', '424244007-PF', '425391005-PO']
PR	6	173019002	Microtherapeutic endoscopic extirpation of lesion of larynx using laser (procedure)	Procedure site - Direct (attribute)	1	Laryngeal structure (body structure)	['116680003-PR', '260686004-QV', '363700003-BS', '405813007-BS', '424244007-PF', '425391005-PO']
PR	6	173019002	Microtherapeutic endoscopic extirpation of lesion of larynx using laser (procedure)	Using access device (attribute)	1	Laryngoscope, device (physical object)	['116680003-PR', '260686004-QV', '363700003-BS', '405813007-BS', '424244007-PF', '425391005-PO']
PR	6	173019002	Microtherapeutic endoscopic extirpation of lesion of larynx using laser (procedure)	Using energy (attribute)	1	Laser-generated electromagnetic radiation (physical force)	['116680003-PR', '260686004-QV', '363700003-BS', '405813007-BS', '424244007-PF', '425391005-PO']
PR	6	173617001	Open operations on esophageal varices (procedure)	Is a (attribute)	0	Operation on esophageal varices (procedure)	['116680003-PR', '260507000-QV', '260686004-QV', '363704007-BS', '405816004-BS']
PR	6	173617001	Open operations on esophageal varices (procedure)	Access (attribute)	1	Open approach - access (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363704007-BS', '405816004-BS']
PR	6	173617001	Open operations on esophageal varices (procedure)	Method (attribute)	1	Surgical action (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363704007-BS', '405816004-BS']
PR	6	173617001	Open operations on esophageal varices (procedure)	Procedure morphology (attribute)	1	Uneven venous ectasia (morphologic abnormality)	['116680003-PR', '260507000-QV', '260686004-QV', '363704007-BS', '405816004-BS']
PR	6	173617001	Open operations on esophageal varices (procedure)	Procedure site (attribute)	1	Esophageal structure (body structure)	['116680003-PR', '260507000-QV', '260686004-QV', '363704007-BS', '405816004-BS']
PR	6	174582000	Open removal of calculus from bile duct and drainage of bile duct (procedure)	Is a (attribute)	0	Bile duct stone removal (procedure)	['116680003-PR', '260507000-QV', '260686004-QV', '363700003-BS', '363701004-SU', '405814001-BS']
PR	6	174582000	Open removal of calculus from bile duct and drainage of bile duct (procedure)	Access (attribute)	1	Open approach - access (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363700003-BS', '363701004-SU', '405814001-BS']
PR	6	174582000	Open removal of calculus from bile duct and drainage of bile duct (procedure)	Direct morphology (attribute)	1	Calculus (morphologic abnormality)	['116680003-PR', '260507000-QV', '260686004-QV', '363700003-BS', '363701004-SU', '405814001-BS']
PR	6	174582000	Open removal of calculus from bile duct and drainage of bile duct (procedure)	Method (attribute)	1	Surgical removal - action (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363700003-BS', '363701004-SU', '405814001-BS']
PR	6	174582000	Open removal of calculus from bile duct and drainage of bile duct (procedure)	Procedure site - Indirect (attribute)	1	Bile duct structure (body structure)	['116680003-PR', '260507000-QV', '260686004-QV', '363700003-BS', '363701004-SU', '405814001-BS']
PR	6	174582000	Open removal of calculus from bile duct and drainage of bile duct (procedure)	Direct substance (attribute)	2	Bile (substance)	['116680003-PR', '260507000-QV', '260686004-QV', '363700003-BS', '363701004-SU', '405814001-BS']
PR	6	174582000	Open removal of calculus from bile duct and drainage of bile duct (procedure)	Method (attribute)	2	Drainage - action (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363700003-BS', '363701004-SU', '405814001-BS']
PR	6	174582000	Open removal of calculus from bile duct and drainage of bile duct (procedure)	Procedure site - Indirect (attribute)	2	Bile duct structure (body structure)	['116680003-PR', '260507000-QV', '260686004-QV', '363700003-BS', '363701004-SU', '405814001-BS']
PR	6	179328002	Revision uncemented hemiarthroplasty of hip (procedure)	Is a (attribute)	0	Procedure on hip joint (procedure)	['116680003-PR', '246513007-QV', '363704007-BS']
PR	6	179328002	Revision uncemented hemiarthroplasty of hip (procedure)	Procedure site (attribute)	1	Hip joint structure (body structure)	['116680003-PR', '246513007-QV', '363704007-BS']
PR	6	179328002	Revision uncemented hemiarthroplasty of hip (procedure)	Revision status (attribute)	1	Revision - value (qualifier value)	['116680003-PR', '246513007-QV', '363704007-BS']
PR	6	179673002	Revision to open reduction of dislocation and functional bracing (procedure)	Is a (attribute)	0	Revision to functional bracing of fracture (procedure)	['116680003-PR', '246513007-QV', '260507000-QV', '260686004-QV', '363699004-PO', '363700003-BS', '405813007-BS']
